segment_id,participant,grid_position,label,original_file,segment_length
0,participant1,0,0,P01_trial0001.csv,31
1,participant1,0,0,P01_trial0001.csv,31
2,participant1,0,0,P01_trial0001.csv,31
3,participant1,0,0,P01_trial0001.csv,31
4,participant1,0,0,P01_trial0001.csv,31
5,participant1,0,0,P01_trial0001.csv,31
6,participant1,0,0,P01_trial0001.csv,31
7,participant1,0,0,P01_trial0001.csv,31
8,participant1,0,0,P01_trial0001.csv,31
9,participant1,0,0,P01_trial0001.csv,31
10,participant1,0,0,P01_trial0001.csv,31
11,participant1,0,0,P01_trial0001.csv,31
12,participant1,0,0,P01_trial0001.csv,31
13,participant1,0,0,P01_trial0001.csv,31
14,participant1,0,0,P01_trial0001.csv,31
15,participant1,0,0,P01_trial0001.csv,31
16,participant1,0,0,P01_trial0001.csv,31
17,participant1,0,0,P01_trial0001.csv,31
18,participant1,0,0,P01_trial0001.csv,31
19,participant1,0,0,P01_trial0001.csv,31
20,participant1,0,0,P01_trial0001.csv,31
21,participant1,0,0,P01_trial0001.csv,31
22,participant1,0,0,P01_trial0001.csv,31
23,participant1,0,0,P01_trial0001.csv,31
24,participant1,0,0,P01_trial0001.csv,31
25,participant1,0,0,P01_trial0001.csv,31
26,participant1,0,0,P01_trial0001.csv,31
27,participant1,0,0,P01_trial0001.csv,31
28,participant1,0,0,P01_trial0001.csv,31
29,participant1,1,1,P01_trial0002.csv,31
30,participant1,1,1,P01_trial0002.csv,31
31,participant1,1,1,P01_trial0002.csv,31
32,participant1,1,1,P01_trial0002.csv,31
33,participant1,1,1,P01_trial0002.csv,31
34,participant1,1,1,P01_trial0002.csv,31
35,participant1,1,1,P01_trial0002.csv,31
36,participant1,1,1,P01_trial0002.csv,31
37,participant1,1,1,P01_trial0002.csv,31
38,participant1,1,1,P01_trial0002.csv,31
39,participant1,1,1,P01_trial0002.csv,31
40,participant1,1,1,P01_trial0002.csv,31
41,participant1,1,1,P01_trial0002.csv,31
42,participant1,1,1,P01_trial0002.csv,31
43,participant1,1,1,P01_trial0002.csv,31
44,participant1,1,1,P01_trial0002.csv,31
45,participant1,1,1,P01_trial0002.csv,31
46,participant1,1,1,P01_trial0002.csv,31
47,participant1,1,1,P01_trial0002.csv,31
48,participant1,1,1,P01_trial0002.csv,31
49,participant1,1,1,P01_trial0002.csv,31
50,participant1,1,1,P01_trial0002.csv,31
51,participant1,1,1,P01_trial0002.csv,31
52,participant1,1,1,P01_trial0002.csv,31
53,participant1,1,1,P01_trial0002.csv,31
54,participant1,1,1,P01_trial0002.csv,31
55,participant1,1,1,P01_trial0002.csv,31
56,participant1,1,1,P01_trial0002.csv,31
57,participant1,1,1,P01_trial0002.csv,31
58,participant1,2,2,P01_trial0003.csv,31
59,participant1,2,2,P01_trial0003.csv,31
60,participant1,2,2,P01_trial0003.csv,31
61,participant1,2,2,P01_trial0003.csv,31
62,participant1,2,2,P01_trial0003.csv,31
63,participant1,2,2,P01_trial0003.csv,31
64,participant1,2,2,P01_trial0003.csv,31
65,participant1,2,2,P01_trial0003.csv,31
66,participant1,2,2,P01_trial0003.csv,31
67,participant1,2,2,P01_trial0003.csv,31
68,participant1,2,2,P01_trial0003.csv,31
69,participant1,2,2,P01_trial0003.csv,31
70,participant1,2,2,P01_trial0003.csv,31
71,participant1,2,2,P01_trial0003.csv,31
72,participant1,2,2,P01_trial0003.csv,31
73,participant1,2,2,P01_trial0003.csv,31
74,participant1,2,2,P01_trial0003.csv,31
75,participant1,2,2,P01_trial0003.csv,31
76,participant1,2,2,P01_trial0003.csv,31
77,participant1,2,2,P01_trial0003.csv,31
78,participant1,2,2,P01_trial0003.csv,31
79,participant1,2,2,P01_trial0003.csv,31
80,participant1,2,2,P01_trial0003.csv,31
81,participant1,2,2,P01_trial0003.csv,31
82,participant1,2,2,P01_trial0003.csv,31
83,participant1,2,2,P01_trial0003.csv,31
84,participant1,2,2,P01_trial0003.csv,31
85,participant1,2,2,P01_trial0003.csv,31
86,participant1,2,2,P01_trial0003.csv,31
87,participant1,3,3,P01_trial0004.csv,31
88,participant1,3,3,P01_trial0004.csv,31
89,participant1,3,3,P01_trial0004.csv,31
90,participant1,3,3,P01_trial0004.csv,31
91,participant1,3,3,P01_trial0004.csv,31
92,participant1,3,3,P01_trial0004.csv,31
93,participant1,3,3,P01_trial0004.csv,31
94,participant1,3,3,P01_trial0004.csv,31
95,participant1,3,3,P01_trial0004.csv,31
96,participant1,3,3,P01_trial0004.csv,31
97,participant1,3,3,P01_trial0004.csv,31
98,participant1,3,3,P01_trial0004.csv,31
99,participant1,3,3,P01_trial0004.csv,31
100,participant1,3,3,P01_trial0004.csv,31
101,participant1,3,3,P01_trial0004.csv,31
102,participant1,3,3,P01_trial0004.csv,31
103,participant1,3,3,P01_trial0004.csv,31
104,participant1,3,3,P01_trial0004.csv,31
105,participant1,3,3,P01_trial0004.csv,31
106,participant1,3,3,P01_trial0004.csv,31
107,participant1,3,3,P01_trial0004.csv,31
108,participant1,3,3,P01_trial0004.csv,31
109,participant1,3,3,P01_trial0004.csv,31
110,participant1,3,3,P01_trial0004.csv,31
111,participant1,3,3,P01_trial0004.csv,31
112,participant1,4,4,P01_trial0005.csv,31
113,participant1,4,4,P01_trial0005.csv,31
114,participant1,4,4,P01_trial0005.csv,31
115,participant1,4,4,P01_trial0005.csv,31
116,participant1,4,4,P01_trial0005.csv,31
117,participant1,4,4,P01_trial0005.csv,31
118,participant1,4,4,P01_trial0005.csv,31
119,participant1,4,4,P01_trial0005.csv,31
120,participant1,4,4,P01_trial0005.csv,31
121,participant1,4,4,P01_trial0005.csv,31
122,participant1,4,4,P01_trial0005.csv,31
123,participant1,4,4,P01_trial0005.csv,31
124,participant1,4,4,P01_trial0005.csv,31
125,participant1,4,4,P01_trial0005.csv,31
126,participant1,4,4,P01_trial0005.csv,31
127,participant1,4,4,P01_trial0005.csv,31
128,participant1,4,4,P01_trial0005.csv,31
129,participant1,4,4,P01_trial0005.csv,31
130,participant1,4,4,P01_trial0005.csv,31
131,participant1,4,4,P01_trial0005.csv,31
132,participant1,4,4,P01_trial0005.csv,31
133,participant1,4,4,P01_trial0005.csv,31
134,participant1,4,4,P01_trial0005.csv,31
